dmf_no,dmf_submit_date,dmf_holder,dmf_subject,year,month
1478,3-Feb-70,CAMBREX PROFARMACO MILANO SRL,DIAZEPAM,1970,2
1516,23-Apr-70,SANOFI CHIMIE,CHLORPROMAZINE HYDROCHLORIDE,1970,4
1631,5-Jan-71,NATIONAL INSTITUTE DRUG ABUSE,MARIJUANA (PRODUCT CODE 1000) ,1971,1
1748,21-Jun-71,SANOFI CHIMIE,DEXAMETHASONE,1971,6
1817,21-Nov-71,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,MEGESTROL ACETATE USP,1971,11
1839,16-Dec-71,COPPERHEAD INVESTMENTS INC,SDM-17 (10% NITROGLYCERIN IN LACTOSE),1971,12
1862,25-Jan-72,SPECGX LLC,NALOXONE HCL USP DIHYDRATE,1972,1
1869,5-Dec-71,TEVA PHARMACEUTICAL INDUSTRIES LTD,PROBENECID USP,1971,12
1906,8-Mar-72,TEVA PHARMACEUTICAL INDUSTRIES LTD,IMIPRAMINE HYDROCHLORIDE USP,1972,3
1949,9-Jun-72,SANOFI CHIMIE,PROMETHAZINE HCL,1972,6
1985,16-Aug-72,BAYER AG,ETHINYLESTRADIOL ,1972,8
2030,18-Dec-72,DR REDDYS LABORATORIES LTD,NAPROXEN,1972,12
2033,22-Dec-72,BAYER AG,NORETHINDRONE ACETATE,1972,12
2063,15-Jan-73,PALL CORP,FILTER CARTRIDGE,1973,1
2098,27-Apr-73,PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,DOXORUBICIN HYDROCHLORIDE,1973,4
2115,14-Jun-73,TEVA PHARMACEUTICAL INDUSTRIES LTD,HYDROCHLOROTHIAZIDE,1973,6
2140,7-Aug-73,OLON SPA,PHENDIMETRAZINE TARTRATE,1973,8
2199,7-Dec-73,SIEGFRIED LTD,PRIMIDONE,1973,12
2239,1-Mar-74,CAMBREX CHARLES CITY INC,SULFASALAZINE USP,1974,3
2248,21-Mar-74,CAMBREX PROFARMACO MILANO SRL,BISACODYL ,1974,3
2303,11-Jul-74,OLON SPA,DICYCLOMINE HYDROCHLORIDE ,1974,7
2368,10-Dec-74,TRIFARMA SPA,PROCHLORPERAZINE MALEATE,1974,12
2418,24-Feb-75,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,GLIPIZIDE USP,1975,2
2420,11-Mar-75,STARKS ASSOC INC,LOMUSTINE (CCNU) BULK,1975,3
2421,14-Mar-75,SUMITOMO CHEMICAL CO LTD,HYDRALAZINE HYDROCHLORIDE,1975,3
2435,13-Mar-75,AESICA PHARMACEUTICALS LTD,FLURBIPROFEN AND SODIUM FLUBIPROFEN,1975,3
2438,21-Apr-75,AMRI ITALY SRL,CHLORTHALIDONE USP-EP,1975,4
2467,10-Jun-75,BRISTOL MYERS SQUIBB CO, WARFARIN SODIUM USP,1975,6
2479,20-Jun-75,SPECGX LLC,IOTHALAMIC ACID USP,1975,6
2506,13-Aug-75,TEVA PHARMACEUTICAL INDUSTRIES LTD,ALLOPURINOL,1975,8
2516,28-Aug-75,NOVUS FINE CHEMICALS LLC,"PSEUDOEPHEDRINE HCL, SULFATE, AND BASE BULK POWDER",1975,8
2565,12-Nov-75,TEVA PHARMACEUTICAL INDUSTRIES LTD,FUROSEMIDE USP ,1975,11
2598,28-Jan-76,OLON SPA,AMITRIPTYLINE HCL,1976,1
2614,17-Feb-76,PFANSTIEHL INC,STREPTOZOTOCIN (S-119),1976,2
2616,27-Feb-76,SCIENTIFIC PROTEIN LABORATORIES LLC,HEPARIN SODIUM USP,1976,2
2663,7-May-76,DOTTIKON EXCLUSIVE SYNTHESIS AG,"ISOSORBIDE DINITRATE, DILUTED",1976,5
2693,16-Jun-76,OLON SPA,BENZHEXOL HCL. (TRIHEXYPHENIDYL HCL.),1976,6
2698,21-Jun-76,SIEGFRIED LTD,PROPARACAINE HYDROCHLORIDE ,1976,6
2712,3-Aug-76,PFIZER INC,HEPARIN SODIUM USP,1976,8
2719,9-Aug-76,TEVA PHARMACEUTICAL INDUSTRIES LTD,AMITRIPTYLINE HCL USP DRUG SUBSTANCE,1976,8
2726,5-Aug-76,BAYER AG,NORETHINDRONE,1976,8
2736,19-Jul-76,SANOFI CHIMIE,DEXAMETHASONE ACETATE ANHYDROUS USP ,1976,7
2738,2-Aug-76,OLON SPA,DIETHYLPROPION HCL,1976,8
2757,8-Oct-76,3M DRUG DELIVERY SYSTEMS,CORDRAN (FLURANDRENOLIDE) TAPE,1976,10
2789,11-Nov-76,SANOFI CHIMIE,HYDROCORTISONE USP ,1976,11
2809,10-Dec-76,OLON SPA,CLIDINIUM BROMIDE,1976,12
2853,1-Feb-77,TRIFARMA SPA,TRIFLUOPERAZINE HYDROCHLORIDE,1977,2
2870,18-Feb-77,TEVA PHARMACEUTICAL INDUSTRIES LTD,ALLOPURINOL USP,1977,2
2872,1-Mar-77,TEVA PHARMACEUTICAL INDUSTRIES LTD,TRIMETHOPRIM USP,1977,3
2874,28-Feb-77,SANOFI CHIMIE,PREDNISONE,1977,2
2908,18-Mar-77,DIPHARMA FRANCIS SRL,AMITRIPTYLINE HYDROCHLORIDE,1977,3
2911,12-Apr-77,SIEGFRIED EVIONNAZ SA,BUPIVACAINE HCL,1977,4
2922,2-May-77,SANOFI CHIMIE,METHYLPREDNISOLONE HEMISUCCINATE ,1977,5
2938,9-May-77,PROCOS SPA,PHENYLTOLOXAMINE CITRATE,1977,5
3017,22-Jul-77,BASF SE,POVIDONE-IODINE,1977,7
3062,9-Nov-77,TEVA PHARMACEUTICAL INDUSTRIES LTD,5-FLUOROURACIL ,1977,11
3116,27-Dec-77,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,DOPAMINE HYDROCHLORIDE,1977,12
3131,27-Feb-78,KYOWA HAKKO BIO CO LTD,AMINO ACIDS,1978,2
3136,23-Jan-78,FIS FABBRICA ITALIANA SINTETICI SPA,INDOMETHACIN,1978,1
3139,28-Feb-78,DIPHARMA FRANCIS SRL,TOLBUTAMIDE USP,1978,2
3149,15-Mar-78,KYOWA HAKKO BIO CO LTD,AMINO ACIDS,1978,3
3164,28-Feb-78,FIS FABBRICA ITALIANA SINTETICI SPA,DIAZEPAM,1978,2
3190,28-Apr-78,PHARMACIA AND UPJOHN SUB PFIZER INC,"TESTOSTERONE, USP",1978,4
3208,25-May-78,DR REDDYS LABORATORIES LTD,NAPROXEN SODIUM,1978,5
3209,17-Apr-78,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,DIPYRIDAMOLE,1978,4
3230,26-May-78,TEVA PHARMACEUTICAL INDUSTRIES LTD,DOXEPIN HCL USP,1978,5
3293,13-Sep-78,OLON SPA,CYPROHEPTADINE HYDROCHLORIDE ,1978,9
3312,9-Aug-78,MITSUBISHI TANABE PHARMA CORP,URSODEOXYCHOLIC ACID,1978,8
3328,14-Jun-78,ANGELINI ACRAF SPA,TRAZODONE HCL,1978,6
3374,4-Oct-78,LUNDBECK PHARMACEUTICALS ITALY SPA,DESIPRAMINE HYDROCHLORIDE,1978,10
3379,2-Nov-78,BAYER AG,ESTRADIOL VALERATE,1978,11
3391,31-Oct-78,BAYER AG,TESTOSTERONE ENANTHATE,1978,10
3407,9-Jan-79,KYOWA HAKKO BIO CO LTD,AMINO ACID MIXTURES,1979,1
3409,12-Dec-78,PRODUCTOS QUIMICOS NATURALES SA DE CV,ESTROPIPATE ,1978,12
3413,17-Oct-78,MERCK KGAA,MEGLUMINE,1978,10
3432,9-Jan-79,SIEGFRIED USA LLC,PHENTERMINE HYDROCHLORIDE USP,1979,1
3437,30-Nov-78,MIDAS PHARMA GMBH,DIETHYLPROPIONE HCL,1978,11
3452,8-Feb-79,SANOFI CHIMIE,METHYLPREDNISOLONE ACETATE,1979,2
3456,21-Dec-78,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,TRETINOIN,1978,12
3464,15-Feb-79,CURIUM US LLC,DIETHYLENETRIAMINEPENTAACETIC ACID (DTPA) ,1979,2
3469,10-Jan-79,SIEGFRIED EVIONNAZ SA,MEPIVACAINE HCL,1979,1
3501,28-Feb-79,CAMBREX PROFARMACO MILANO SRL,FLURAZEPAM HYDROCHLORIDE,1979,2
3505,11-Apr-79,CAMBREX PROFARMACO MILANO SRL,AMIODARONE HCL,1979,4
3506,24-Apr-79,BAXTER HEALTHCARE CORP,IFOSFAMIDE USP/EP,1979,4
3513,8-Mar-79,FIS FABBRICA ITALIANA SINTETICI SPA,FUROSEMIDE,1979,3
3514,2-Mar-79,DIPHARMA FRANCIS SRL,CHLORPROPAMIDE,1979,3
3516,30-Mar-79,DIPHARMA FRANCIS SRL,TRIAMTERENE USP ,1979,3
3524,8-Feb-79,DIPHARMA FRANCIS SRL,"CYPROHEPTADINE HCL, USP",1979,2
3529,30-May-79,SANOFI CHIMIE,PREDNISOLONE ACETATE ,1979,5
3535,4-Jun-79,SANOFI CHIMIE,PREDNISOLONE,1979,6
3538,3-Apr-79,SIGMA ALDRICH ISRAEL LTD,DACTINOMYCIN USP ,1979,4
3542,12-Jun-79,FUJI CHEMICAL INDUSTRIES CO LTD,SUCRALFATE ,1979,6
3564,30-Apr-79,FRANCO INDIAN PHARMACEUTICALS PVT LTD,METHOXSALEN,1979,4
3570,20-Jul-79,SANOFI CHIMIE,HYDROCORTISONE ACETATE,1979,7
3594,11-Jun-79,BAXTER HEALTHCARE CORP,"CYCLOPHOSPHAMIDE, USP/EP",1979,6
3609,3-Sep-79,CORDEN PHARMA BERGAMO SPA,METRONIDAZOLE USP,1979,9
3633,15-Oct-79,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,PAPAVERINE HCI,1979,10
3659,15-Nov-79,OLON SPA,"CLIDINIUM BROMIDE, USP",1979,11
3677,20-Dec-79,BUCHLER GMBH,QUINIDINE SULFATE,1979,12
3716,29-Jan-80,BAXTER ONCOLOGY GMBH,CYCLOPHOSPHAMIDE INJECTION VIALS,1980,1
3721,13-Feb-80,SIEGFRIED LTD,SOTALOL HYDROCHLORIDE,1980,2
3725,7-Feb-80,DIPHARMA FRANCIS SRL,ISOSORBIDE DINITRATE (ISDN),1980,2
3731,7-Feb-80,DIPHARMA FRANCIS SRL,GLYCERIN TRINITRATE (NITROGLYCERIN-NG),1980,2
3743,10-Mar-80,GE HEALTHCARE INC,"CYCLOTRON OPERATION, INDIUM CL (IN 111)",1980,3
3746,10-Mar-80,GE HEALTHCARE,THALLOUS CL (TL-201) (CYCLOTRON OPERATION),1980,3
3771,15-Apr-80,SANOFI CHIMIE,METHYLPREDNISOLONE ,1980,4
3776,7-Mar-80,FIS FABBRICA ITALIANA SINTETICI SPA,PENTAZOCINE HCI,1980,3
3803,20-May-80,ASPEN OSS BV,ETHINYL ESTRADIOL ,1980,5
3807,20-May-80,ASPEN OSS BV,HUMAN CHORIONIC GONADOTROPHIN (HCG) ,1980,5
3823,20-May-80,ASPEN OSS BV,PROGESTERONE,1980,5
3828,11-Jun-80,AMINO GMBH,L-LEUCINE,1980,6
3829,21-May-80,ASPEN OSS BV,ESTRADIOL ,1980,5
3835,10-Jun-80,JOHNSON AND JOHNSON CONSUMER INC MCNEIL CONSUMER HEALTHCARE DIV,NICORETTE ,1980,6
3840,10-Jun-80,INSTITUTO MASSONE S A,HUMAN CHORIONIC GONADOTROPIN ,1980,6
3849,22-May-80,ASPEN OSS BV,NORETHINDRONE,1980,5
3857,21-May-80,ASPEN OSS BV,TESTOSTERONE CYPIONATE ,1980,5
3861,21-May-80,ASPEN OSS BV,METHYLTESTOSTERONE,1980,5
3872,11-Jul-80,EVONIK REXIM SAS,L-LYSINE HYDRATE,1980,7
3873,16-Jun-80,ASPEN OSS BV,ESTERIFIED ESTROGENS  CC,1980,6
3877,25-Jun-80,ASPEN OSS BV,TESTOSTERONE ENANTHATE,1980,6
3879,14-Jul-80,KONGO CHEMICAL CO LTD,DIPHENHYDRAMINE HCL USP,1980,7
3885,14-Jul-80,KONGO CHEMICAL CO LTD,CHLORPHENIRAMINE MALEATE USP,1980,7
3910,18-Jul-80,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,DIPHENHYDRAMINE HCL USP,1980,7
3953,20-Aug-80,KLINGE CHEMICALS LTD,POTASSIUM CHLORIDE USP,1980,8
3957,6-Oct-80,TEVA PHARMACEUTICAL INDUSTRIES LTD,CLOMIPHENE CITRATE,1980,10
3963,10-Oct-80,SANOFI CHIMIE,DEXAMETHASONE SODIUM PHOSPHATE,1980,10
4028,10-Dec-80,TEVA PHARMACEUTICAL INDUSTRIES LTD,HYDROCHLOROTHIAZIDE,1980,12
4033,22-Oct-80,AMINO GMBH,L-PHENYLALANINE,1980,10
4038,20-Jan-81,SIEGFRIED LTD,CARBACHOL,1981,1
4041,22-Oct-80,AMINO GMBH,L-ISOLEUCINE,1980,10
4051,5-Feb-81,SANOFI CHIMIE,PREDNISOLONE SODIUM PHOSPHATE,1981,2
4065,20-Feb-81,SIEGFRIED EVIONNAZ SA,TETRACAINE HCL ,1981,2
4066,21-Jan-81,GEDEON RICHTER PLC,ESTRADIOL USP ,1981,1
4088,27-Feb-81,SIEGFRIED LTD,TRIMETHOBENZAMIDE HCL.,1981,2
4095,27-Feb-81,SANOFI CHIMIE,CYANOCOBALAMIN ,1981,2
4097,24-Feb-81,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,THEOPHYLLINE ANHYDROUS,1981,2
4104,27-Feb-81,COSMA SPA,PROPRANOLOL HCL,1981,2
4118,9-Apr-81,TEVA PHARMACEUTICAL INDUSTRIES LTD,BETAMETHASONE VALERATE,1981,4
4120,27-Feb-81,TRIFARMA SPA,THIORIDAZINE HYDROCHLORIDE ,1981,2
4126,27-Feb-81,TRIFARMA SPA,FLUPHENAZINE HCL,1981,2
4128,31-Mar-81,CURIUM US LLC,THALLOUS CHLORIDE TI 201,1981,3
4130,27-Feb-81,TRIFARMA SPA,PERPHENAZINE USP,1981,2
4134,31-Mar-81,CURIUM US LLC,GALLIUM CHLORIDE GA-67,1981,3
4139,27-Mar-81,SIMS SRL,LIDOCAINE BASE CRYSTALLIZED & LIDOCAINE HcL,1981,3
4148,28-Apr-81,TEVA PHARMACEUTICAL INDUSTRIES LTD,BETAMETHASONE DIPROPIONATE,1981,4
4178,21-May-81,BAYER AG,LEVONORGESTREL,1981,5
4185,27-May-81,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,PSEUDOEPHEDRINE ,1981,5
4195,11-May-81,CAMBREX PROFARMACO MILANO SRL,LORMETAZEPAM,1981,5
4203,12-Jun-81,SPECGX LLC,COMPAP™,1981,6
4220,18-Mar-81,ESTEVE QUIMICA SA,INDOMETHACIN FOR HUMAN USE,1981,3
4233,8-Apr-81,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,TESTOSTERONE PROPIONATE ,1981,4
4240,26-Jun-81,CAMBREX PROFARMACO MILANO SRL,CLORAZEPATE DIPOTASSIUM,1981,6
4242,12-Aug-81,ALBEMARLE CORP,LITHIUM CARBONATE USP,1981,8
4245,13-Aug-81,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,TESTOSTERONE CYPIONATE USP,1981,8
4246,6-Aug-81,FERMION OY,METHOTREXATE,1981,8
4273,15-Jul-81,BAYER AG,TRASYLOL (APROTININ)-DRUG SUBSTANCE,1981,7
4287,2-Oct-81,MERCK KGAA,"PRAZIQUANTEL 2-(CYCLOHEXYLCARBONYL)-1,2,3,6,7,11BETA-4HPYRAZINO-(2,1-ALPHA)  ",1981,10
4297,29-Sep-81,LEK PHARMACEUTICALS DD,SILVER SULFADIAZINE,1981,9
4305,22-Oct-81,SCHERING PLOUGH AVONDALE CO,CHLORPHENIRAMINE MALEATE,1981,10
4312,21-Oct-81,SCHERING PLOUGH AVONDALE CO,DEXBROMPHENIRAMINE MALEATE,1981,10
4313,3-Nov-81,COPPERHEAD INVESTMENTS INC,SDM 27 (10% NITROGLYCERIN IN PROPYLENE GLYCOL),1981,11
4323,10-Nov-81,ALBEMARLE CORP,"LIDOCAINE HCL, USP, BP & PH EUR",1981,11
4328,2-Oct-81,PROCOS SPA,PHENELZINE SULFATE,1981,10
4334,28-Oct-81,ACRAF SPA,DAPIPRAZOLE HYDROCHLORIDE,1981,10
4341,18-Nov-81,SIEGFRIED EVIONNAZ SA,CARBAMAZEPINE,1981,11
4358,20-Oct-81,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,(-)-EPHEDRINE SALTS,1981,10
4369,8-Dec-81,CAMBREX PROFARMACO MILANO SRL,METHYCLOTHIAZIDE,1981,12
4376,12-Nov-81,CAMBREX PROFARMACO MILANO SRL,TEMAZEPAM,1981,11
4395,25-Nov-81,CHEMISCHE FABRIK BERG GMBH,BUTALBITAL,1981,11
4416,23-Jan-82,OLON SPA,CARISOPRODOL,1982,1
4420,3-Feb-82,TEVA PHARMACEUTICAL INDUSTRIES LTD,DESONIDE,1982,2
4423,3-Feb-82,SANOFI CHIMIE,FLUOROMETHOLONE,1982,2
4435,29-Jan-82,COSMA SPA,HYDROXYZINE HYDROCHLORIDE,1982,1
4438,18-Feb-82,CAMBREX PROFARMACO MILANO SRL,OXAZEPAM,1982,2
4475,12-Mar-82,DELMAR CHEMICALS INC,ESMOLOL HYDROCHLORIDE,1982,3
4486,5-Apr-82,TEVA PHARMACEUTICAL INDUSTRIES LTD,FLUOCINOLONE ACETONIDE (PROCESS I),1982,4
4493,5-Apr-82,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,CLONIDINE HCL,1982,4
4505,26-Apr-82,ALBEMARLE CORP,PARA-AMINOHIPPURIC ACID USP XX ,1982,4
4514,16-Apr-82,COSMA SPA,HYDROXYZINE PAMOATE,1982,4
4517,4-May-82,CAMBREX PROFARMACO MILANO SRL,LORAZEPAM,1982,5
4523,3-May-82,COSMA SPA,METOCLOPRAMIDE HYDROCHLORIDE,1982,5
4524,10-May-82,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,DEXAMETHASONE USP MICRONIZED ,1982,5
4525,20-Apr-82,AMRI RENSSELAER INC,MEPERIDINE HCL USP,1982,4
4531,7-Apr-82,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,PHENYTOIN MICRO,1982,4
4532,10-May-82,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,DEXAMETHASONE ACETATE USP ANHYDROUS MICRONIZED,1982,5
4538,7-Apr-82,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,PHENYTOIN SODIUM,1982,4
4539,17-May-82,R MASON CHEMICALS LTD,SELENIUM DISULFIDE,1982,5
4555,17-Mar-82,AJINOMOTO HEALTH AND NUTRITION NORTH AMERICA INC,AMINO ACIDS,1982,3
4561,12-May-82,FINE CHEMICALS CORP PTY LTD,VINCRISTINE SULPHATE/VINBLASTINE SULPHATE,1982,5
4570,21-May-82,FERMION OY,TRAZODONE HYDROCHLORIDE,1982,5
4591,9-Jul-82,TEVA PHARMACEUTICAL INDUSTRIES LTD,FLUOCINONIDE,1982,7
4627,13-Jul-82,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,DIMENHYDRINATE,1982,7
4633,28-Jul-82,SHANDONG XINHUA PHARMACEUTICAL CO LTD,THEOPHYLLINE,1982,7
4642,1-Sep-82,ALKALOIDA CHEMICAL CO ZRT,PHENOBARBITAL USP,1982,9
4649,16-Jul-82,AMINO GMBH,L-TYROSINE,1982,7
4662,23-Sep-82,SANOFI CHIMIE,HYDROCORTISONE VALERATE USP BULK SUBSTANCE,1982,9
4676,27-Sep-82,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,13-CIS-RETINOIC ACID (ISOTRETINOIN),1982,9
4684,13-Oct-82,BAYER AG,ESTRADIOL,1982,10
4687,14-Oct-82,SUMITOMO CHEMICAL CO LTD,DISOPYRAMIDE PHOSPHATE USP XX,1982,10
4688,16-Oct-82,KONGO CHEMICAL CO LTD,DEXCHLORPHENIRAMINE MALEATE,1982,10
4690,13-Oct-82,BAYER AG,ESTRADIOL-3-BENZOATE,1982,10
4691,19-Oct-82,DISHMAN NETHERLANDS BV,DIHYDROTACHYSTEROL,1982,10
4697,27-Oct-82,ROQUETTE FRERES,DEXTROSE MONOHYDRATE USP GRADE (LYCADEX® PF),1982,10
4706,2-Nov-82,DIPHARMA FRANCIS SRL,TOLAZAMIDE ,1982,11
4710,29-Oct-82,YANGZHOU PHARMACEUTICAL CO LTD,HYDROCORTISONE BASE & ACETATE,1982,10
4712,26-Oct-82,TEVA PHARMACEUTICAL INDUSTRIES LTD,TRIAMCINOLONE ACETONIDE,1982,10
4716,15-Nov-82,CORDEN PHARMA BERGAMO SPA,IMIPRAMINE HCL USP,1982,11
4719,10-Nov-82,TEVA PHARMACEUTICAL INDUSTRIES LTD,CARBAMAZEPINE USP.,1982,11
4730,7-Dec-82,YUKI GOSEI KOGYO CO LTD,AMINOACETIC ACID,1982,12
4741,15-Nov-82,CORDEN PHARMA BERGAMO SPA,DOXYLAMINE SUCCINATE ,1982,11
4772,7-Dec-82,YUKI GOSEI KOGYO CO LTD,ISONIAZID BULK FORM,1982,12
4778,21-Jan-83,PCAS,CLONIDINE HYDROCHLORIDE ,1983,1
4789,6-Jan-83,SANDOZ GMBH,LEVOTHYROXINE SODIUM,1983,1
4796,6-Jan-83,PHARMACIA AND UPJOHN SUB PFIZER INC,METHYLPREDNISOLONE USP KALAMAZOO,1983,1
4798,22-Dec-82,OLON SPA,AMILORIDE HYDROCHLORIDE,1982,12
4802,24-Jan-83,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,VERAPAMIL HYDROCHLORIDE,1983,1
4813,6-Jan-83,PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,METHYLPREDNISOLONE ACETATE USP,1983,1
4827,3-Mar-83,REGIS TECHNOLOGIES INC,4-AMINOPYRIDINE ,1983,3
4839,11-Mar-83,SPECGX LLC,CODEINE PHOSPHATE,1983,3
4871,14-Mar-83,TEVA PHARMACEUTICAL INDUSTRIES LTD,BECLOMETHASONE DIPROPIONATE,1983,3
4877,26-Mar-83,LUNDBECK PHARMACEUTICALS ITALY SPA,METOCLOPRAMIDE HCL MONOHYDRATE,1983,3
4884,15-Mar-83,SPECGX LLC,HYDROCODONE BITARTRATE USP CRYSTALS,1983,3
4911,18-Apr-83,ALBEMARLE CORP,PROCAINAMIDE HYDROCHLORIDE ,1983,4
4923,18-Apr-83,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,(+)-PSEUDOEPHEDRINE SULFATE,1983,4
4928,22-Mar-83,HERBRAND PHARMACHEMICALS GMBH,PROPYLTHIOURACIL,1983,3
4929,17-Mar-83,TARO PHARMACEUTICAL INDUSTRIES LTD,CARBAMAZEPINE USP,1983,3
4932,1-Jun-83,MINAKEM HIGH POTENT,VINCRISTINE SULFATE,1983,6
4942,29-Apr-83,INDENA SPA,RESERPINE USP,1983,4
4953,31-May-83,SEKISUI MEDICAL CO LTD,L-METHIONINE,1983,5
4973,7-Apr-83,JUSTESA IMAGEN SAU,DIATRIZOIC ACID DIHYDRATE,1983,4
4975,5-Jul-83,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,MEDROXYPROGESTERONE ACETATE USP KALAMAZOO,1983,7
4990,21-Jun-83,SANDOZ GMBH,7-AMINO-CEPHALOSPORANIC ACID (7-ACA),1983,6
4991,28-May-83,TEVA PHARMACEUTICAL INDUSTRIES LTD,HALOPERIDOL,1983,5
4996,21-Jun-83,SANDOZ GMBH,7-ACT,1983,6
5019,29-Jun-83,SIEGFRIED EVIONNAZ SA,PRILOCAINE HCL,1983,6
5024,28-Jun-83,SIEGFRIED EVIONNAZ SA,BENOXINATE HYDROCHLORIDE,1983,6
5025,21-Jul-83,OLON SPA,DOXEPIN HYDROCHLORIDE ,1983,7
5027,17-May-83,FIS FABBRICA ITALIANA SINTETICI SPA,LORAZEPAM,1983,5
5032,5-Aug-83,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH,"CAFFEINE (HYDROUS, ANHYDROUS FORMS)",1983,8
5038,15-Aug-83,JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,FENTANYL CITRATE (BULK),1983,8
5041,9-Jul-83,EVONIK NUTRITION AND CARE GMBH,LORAZEPAM,1983,7
5046,30-Jun-83,CERBIOS PHARMA SA,LEUCOVORIN CALCIUM,1983,6
5047,25-Jul-83,PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,ESTRADIOL CYPIONATE USP,1983,7
5091,4-Jul-83,FIS FABBRICA ITALIANA SINTETICI SPA,"ACETYLCYSTEINE, USP",1983,7
5130,30-Sep-83,INOLEX CHEMICAL CO,AMMONIUM LACTATE,1983,9
5134,10-Jun-83,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,DOPAMINE HCl ,1983,6
